site,month,calendar_days,k_mcar,k_block_1,k_block_2,k_weekday_heavy,k_weekend_heavy,k_markov,recommended_k,threshold_status,operational_status
245-0227,8,31,8,10,10,8,15,9,10,certified,complete_exact
245-0227,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
245-0227,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
245-0227,11,30,13,20,16,14,21,15,20,certified,complete_exact
245-0227,12,31,12,19,12,13,15,14,19,certified,complete_exact
245-0233,1,31,18,15,17,18,22,18,18,certified,complete_exact
245-0233,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
245-0233,3,31,6,8,8,7,16,7,8,certified,complete_exact
245-0233,4,30,19,22,21,19,25,21,22,certified,complete_exact
245-0233,5,31,7,10,11,10,12,8,11,certified,complete_exact
245-0233,6,30,5,3,4,6,7,5,6,certified,complete_exact
245-0233,7,31,11,12,11,13,19,12,13,certified,complete_exact
245-0233,8,31,8,10,10,8,15,9,10,certified,complete_exact
245-0233,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
245-0233,10,31,6,13,10,10,6,7,13,certified,complete_exact
245-0233,11,30,12,20,15,11,21,14,20,certified,complete_exact
245-0233,12,31,12,19,12,13,15,14,19,certified,complete_exact
245-0303,1,31,26,27,27,25,28,27,27,certified,complete_exact
245-0303,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
245-0303,3,31,20,22,24,20,28,23,24,certified,complete_exact
245-0303,4,30,23,24,25,24,27,24,25,certified,complete_exact
245-0303,5,31,25,27,27,25,28,26,27,certified,complete_exact
245-0303,6,30,19,15,14,16,26,21,21,certified,complete_exact
245-0303,7,31,22,22,24,22,26,23,24,certified,complete_exact
245-0303,8,31,19,14,15,16,26,19,19,certified,complete_exact
245-0303,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
245-0303,10,31,21,22,24,21,27,23,24,certified,incomplete_requires_prediction
245-0303,11,30,19,22,22,19,25,21,22,certified,complete_exact
245-0303,12,31,23,25,26,22,26,24,26,certified,complete_exact
245-0947,1,31,25,27,27,25,28,26,27,certified,complete_exact
245-0947,2,29,20,20,22,19,26,21,22,certified_calendar_sensitivity,complete_exact
245-0947,3,31,20,22,24,20,28,22,24,certified,incomplete_requires_prediction
245-0947,4,30,22,24,25,21,27,24,25,certified,incomplete_requires_prediction
245-0947,5,31,24,27,26,25,28,26,27,certified,complete_exact
245-0947,6,30,19,15,14,16,26,21,21,certified,complete_exact
245-0947,7,31,19,19,18,21,25,20,21,certified,complete_exact
245-0947,8,31,17,14,14,16,26,19,19,certified,complete_exact
245-0947,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
245-0947,10,31,21,22,24,21,27,23,24,certified,complete_exact
245-0947,11,30,15,14,17,16,21,17,17,certified,complete_exact
245-0947,12,31,20,24,24,20,22,22,24,certified,complete_exact
255-0373,1,31,14,15,15,16,21,15,16,certified,incomplete_requires_prediction
255-0373,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
255-0373,3,31,7,10,10,8,8,8,10,certified,complete_exact
255-0373,4,30,8,13,12,11,20,10,13,certified,complete_exact
255-0373,5,31,9,12,12,11,12,10,12,certified,complete_exact
255-0373,6,30,5,5,5,7,5,5,7,certified,complete_exact
255-0373,7,31,11,10,10,12,13,12,12,certified,complete_exact
255-0373,8,31,5,5,5,7,6,6,7,certified,complete_exact
255-0373,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
255-0373,10,31,5,7,7,11,7,6,11,certified,complete_exact
255-0373,11,30,7,9,9,9,8,8,9,certified,complete_exact
255-0373,12,31,13,14,12,13,15,14,14,certified,complete_exact
265-0163,1,31,23,23,26,22,27,26,26,certified,complete_exact
265-0163,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
265-0163,3,31,7,8,8,10,22,8,10,certified,complete_exact
265-0163,4,30,19,22,21,19,25,21,22,certified,complete_exact
265-0163,5,31,7,10,11,10,11,8,11,certified,complete_exact
265-0163,6,30,5,4,4,7,9,6,7,certified,complete_exact
265-0163,7,31,13,14,12,15,20,14,15,certified,complete_exact
265-0163,8,31,8,10,10,8,15,9,10,certified,complete_exact
265-0163,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
265-0163,10,31,6,13,10,10,6,7,13,certified,complete_exact
265-0163,11,30,17,23,19,16,22,19,23,certified,complete_exact
265-0163,12,31,25,27,27,25,25,26,27,certified,complete_exact
269-0123,1,31,15,11,15,16,18,16,16,certified,complete_exact
269-0123,2,29,6,6,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
269-0123,3,31,9,8,10,10,14,10,10,certified,complete_exact
269-0123,4,30,8,13,12,11,20,10,13,certified,complete_exact
269-0123,5,31,9,12,12,11,12,10,12,certified,complete_exact
269-0123,6,30,6,6,7,9,14,7,9,certified,complete_exact
269-0123,7,31,11,10,10,12,12,11,12,certified,complete_exact
269-0123,8,31,6,7,9,7,11,7,9,certified,complete_exact
269-0123,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
269-0123,10,31,5,7,7,11,7,6,11,certified,complete_exact
269-0123,11,30,11,15,12,11,19,13,15,certified,complete_exact
269-0123,12,31,12,14,12,13,15,14,14,certified,complete_exact
275-0074,1,31,14,15,15,16,21,15,16,certified,complete_exact
275-0074,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
275-0074,3,31,8,12,10,8,12,10,12,certified,complete_exact
275-0074,4,30,9,8,10,11,20,10,11,certified,complete_exact
275-0074,5,31,9,12,12,11,12,10,12,certified,complete_exact
275-0074,6,30,6,6,8,9,14,7,9,certified,complete_exact
275-0074,7,31,11,10,10,12,13,12,12,certified,complete_exact
275-0074,8,31,6,7,10,7,13,8,10,certified,complete_exact
275-0074,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
275-0074,10,31,5,7,7,11,7,6,11,certified,complete_exact
275-0074,11,30,11,15,13,11,19,13,15,certified,complete_exact
275-0074,12,31,13,14,12,13,15,14,14,certified,complete_exact
275-0123,1,31,14,15,15,16,21,15,16,certified,complete_exact
275-0123,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
275-0123,3,31,8,12,10,8,12,10,12,certified,complete_exact
275-0123,4,30,9,8,10,11,20,10,11,certified,complete_exact
275-0123,5,31,9,12,12,11,12,10,12,certified,complete_exact
275-0123,6,30,6,6,8,9,14,7,9,certified,complete_exact
275-0123,7,31,11,10,10,12,13,12,12,certified,complete_exact
275-0123,8,31,6,7,10,7,13,8,10,certified,incomplete_requires_prediction
275-0123,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
275-0123,10,31,5,7,7,11,7,6,11,certified,complete_exact
275-0123,11,30,11,15,13,11,19,13,15,certified,complete_exact
275-0123,12,31,13,14,12,13,15,14,14,certified,complete_exact
275-0265,1,31,14,15,15,16,21,15,16,certified,complete_exact
275-0265,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
275-0265,3,31,8,12,10,8,12,10,12,certified,complete_exact
275-0265,4,30,9,8,10,11,20,10,11,certified,complete_exact
275-0265,5,31,9,12,12,11,12,10,12,certified,complete_exact
275-0265,6,30,6,6,8,9,14,7,9,certified,complete_exact
275-0265,7,31,11,10,10,12,13,12,12,certified,complete_exact
275-0265,8,31,5,5,5,7,6,6,7,certified,complete_exact
275-0265,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
275-0265,10,31,5,7,7,11,7,6,11,certified,incomplete_requires_prediction
275-0265,11,30,11,15,13,11,19,13,15,certified,complete_exact
275-0265,12,31,13,14,12,13,15,14,14,certified,complete_exact
277-0256,1,31,22,23,26,22,27,26,26,certified,complete_exact
277-0256,2,29,12,19,11,13,21,16,19,certified_calendar_sensitivity,complete_exact
277-0256,3,31,7,8,8,10,20,8,10,certified,complete_exact
277-0256,4,30,18,22,21,19,25,21,22,certified,complete_exact
277-0256,5,31,7,10,11,10,11,8,11,certified,complete_exact
277-0256,6,30,5,4,5,7,8,6,7,certified,complete_exact
277-0256,7,31,13,14,12,15,20,14,15,certified,complete_exact
277-0256,8,31,8,10,10,8,15,9,10,certified,incomplete_requires_prediction
277-0256,9,30,14,12,15,14,16,15,15,certified,incomplete_requires_prediction
277-0256,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
277-0256,11,30,17,23,18,16,22,19,23,certified,complete_exact
277-0256,12,31,24,27,26,24,25,25,27,certified,complete_exact
281-0161,1,31,25,25,26,25,28,27,27,certified,incomplete_requires_prediction
281-0161,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
281-0161,3,31,20,22,24,20,28,23,24,certified,complete_exact
281-0161,4,30,23,24,25,24,27,24,25,certified,complete_exact
281-0161,5,31,25,27,27,25,28,26,27,certified,complete_exact
281-0161,6,30,19,15,14,16,26,21,21,certified,complete_exact
281-0161,7,31,22,22,24,22,26,23,24,certified,incomplete_requires_prediction
281-0161,8,31,19,14,14,16,26,19,19,certified,complete_exact
281-0161,9,30,24,22,26,24,26,26,26,certified,incomplete_requires_prediction
281-0161,10,31,21,22,24,21,27,23,24,certified,complete_exact
281-0161,11,30,19,22,22,19,25,21,22,certified,complete_exact
281-0161,12,31,22,25,25,22,26,24,25,certified,incomplete_requires_prediction
283-0201,1,31,23,23,26,22,27,26,26,certified,complete_exact
283-0201,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
283-0201,3,31,7,8,7,8,20,7,8,certified,complete_exact
283-0201,4,30,19,22,21,19,25,21,22,certified,complete_exact
283-0201,5,31,7,10,11,10,12,8,11,certified,complete_exact
283-0201,6,30,5,4,5,7,9,6,7,certified,complete_exact
283-0201,7,31,13,14,12,15,20,14,15,certified,complete_exact
283-0201,8,31,7,9,10,8,15,9,10,certified,incomplete_requires_prediction
283-0201,9,30,14,13,15,14,16,15,15,certified,no_target_record
283-0201,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
283-0201,11,30,17,23,19,16,22,20,23,certified,incomplete_requires_prediction
283-0201,12,31,25,27,27,25,25,26,27,certified,incomplete_requires_prediction
285-0227,1,31,18,15,16,18,18,19,19,certified,complete_exact
285-0227,2,29,6,7,8,8,11,8,8,certified_calendar_sensitivity,complete_exact
285-0227,3,31,6,8,8,7,16,7,8,certified,complete_exact
285-0227,4,30,6,10,8,9,9,8,10,certified,complete_exact
285-0227,5,31,7,10,11,10,12,8,11,certified,complete_exact
285-0227,6,30,5,4,5,7,9,6,7,certified,complete_exact
285-0227,7,31,11,11,11,13,19,12,13,certified,complete_exact
285-0227,8,31,3,3,4,5,3,3,5,certified,complete_exact
285-0227,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
285-0227,10,31,5,10,6,10,6,6,10,certified,complete_exact
285-0227,11,30,17,23,19,16,22,20,23,certified,incomplete_requires_prediction
285-0227,12,31,25,27,27,25,25,26,27,certified,complete_exact
285-0234,1,31,18,15,16,18,18,19,19,certified,complete_exact
285-0234,2,29,6,7,8,8,11,7,8,certified_calendar_sensitivity,complete_exact
285-0234,3,31,6,8,8,7,16,7,8,certified,complete_exact
285-0234,4,30,6,10,7,9,8,8,10,certified,complete_exact
285-0234,5,31,7,10,11,10,12,8,11,certified,complete_exact
285-0234,6,30,5,4,5,7,9,6,7,certified,complete_exact
285-0234,7,31,11,12,11,13,19,12,13,certified,complete_exact
285-0234,8,31,3,3,4,5,3,3,5,certified,complete_exact
285-0234,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
285-0234,10,31,5,10,6,10,6,6,10,certified,complete_exact
285-0234,11,30,17,23,19,16,22,20,23,certified,complete_exact
285-0234,12,31,25,27,27,25,25,26,27,certified,complete_exact
285-0243,1,31,18,15,16,18,18,18,18,certified,complete_exact
285-0243,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
285-0243,3,31,6,8,7,7,12,7,8,certified,incomplete_requires_prediction
285-0243,4,30,19,22,21,19,25,21,22,certified,no_target_record
285-0243,5,31,7,10,11,10,11,8,11,certified,no_target_record
285-0243,6,30,5,3,4,7,9,6,7,certified,no_target_record
285-0243,7,31,13,14,12,15,20,14,15,certified,no_target_record
285-0243,8,31,8,10,10,8,15,9,10,certified,no_target_record
285-0243,9,30,14,13,15,14,16,15,15,certified,no_target_record
285-0243,10,31,5,10,6,8,5,6,10,certified,no_target_record
285-0243,11,30,17,23,19,16,22,19,23,certified,no_target_record
285-0243,12,31,25,27,27,25,25,26,27,certified,no_target_record
285-0248,1,31,18,15,16,18,18,18,18,certified,complete_exact
285-0248,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
285-0248,3,31,6,8,7,7,11,7,8,certified,incomplete_requires_prediction
285-0248,4,30,19,22,21,19,25,21,22,certified,incomplete_requires_prediction
285-0248,5,31,7,10,10,10,11,8,10,certified,no_target_record
285-0248,6,30,5,3,4,7,8,6,7,certified,no_target_record
285-0248,7,31,13,14,12,15,20,14,15,certified,no_target_record
285-0248,8,31,7,10,5,8,9,9,10,certified,no_target_record
285-0248,9,30,14,12,15,14,16,15,15,certified,no_target_record
285-0248,10,31,5,10,6,8,5,6,10,certified,no_target_record
285-0248,11,30,17,23,19,16,22,19,23,certified,no_target_record
285-0248,12,31,25,27,27,25,25,26,27,certified,no_target_record
295-0035,1,31,14,15,15,16,21,15,16,certified,complete_exact
295-0035,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
295-0035,3,31,7,10,10,8,8,8,10,certified,complete_exact
295-0035,4,30,8,13,12,11,20,10,13,certified,complete_exact
295-0035,5,31,9,12,12,11,12,10,12,certified,complete_exact
295-0035,6,30,5,5,5,7,5,5,7,certified,complete_exact
295-0035,7,31,11,10,10,12,13,12,12,certified,complete_exact
295-0035,8,31,4,7,5,6,4,5,7,certified,complete_exact
295-0035,9,30,5,8,9,7,5,6,9,certified,complete_exact
295-0035,10,31,5,7,7,11,7,6,11,certified,complete_exact
295-0035,11,30,7,9,9,9,8,8,9,certified,complete_exact
295-0035,12,31,13,19,14,14,12,15,19,certified,complete_exact
297-0018,1,31,14,15,15,16,21,15,16,certified,complete_exact
297-0018,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
297-0018,3,31,7,10,10,8,8,8,10,certified,complete_exact
297-0018,4,30,8,13,12,11,20,10,13,certified,complete_exact
297-0018,5,31,9,12,12,11,12,10,12,certified,complete_exact
297-0018,6,30,5,5,5,7,5,5,7,certified,complete_exact
297-0018,7,31,11,10,10,12,12,12,12,certified,complete_exact
297-0018,8,31,4,7,5,6,4,5,7,certified,complete_exact
297-0018,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
297-0018,10,31,5,7,7,11,7,6,11,certified,complete_exact
297-0018,11,30,7,9,9,9,8,8,9,certified,complete_exact
297-0018,12,31,13,19,14,14,12,15,19,certified,complete_exact
299-0007,1,31,14,15,15,16,21,15,16,certified,complete_exact
299-0007,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
299-0007,3,31,10,14,11,10,15,11,14,certified,complete_exact
299-0007,4,30,6,7,8,9,6,6,9,certified,incomplete_requires_prediction
299-0007,5,31,9,12,12,11,12,10,12,certified,complete_exact
299-0007,6,30,6,6,7,9,14,6,9,certified,complete_exact
299-0007,7,31,13,15,14,15,20,15,15,certified,complete_exact
299-0007,8,31,6,7,10,7,13,7,10,certified,incomplete_requires_prediction
299-0007,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
299-0007,10,31,5,7,7,11,7,6,11,certified,complete_exact
299-0007,11,30,7,9,8,9,7,8,9,certified,complete_exact
299-0007,12,31,13,14,12,13,15,14,14,certified,complete_exact
313-0101,1,31,18,15,16,18,18,18,18,certified,complete_exact
313-0101,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,incomplete_requires_prediction
313-0101,3,31,6,8,8,7,14,7,8,certified,complete_exact
313-0101,4,30,19,22,21,19,25,21,22,certified,complete_exact
313-0101,5,31,7,10,11,10,12,8,11,certified,complete_exact
313-0101,6,30,5,4,5,7,9,6,7,certified,complete_exact
313-0101,7,31,13,14,12,15,20,14,15,certified,complete_exact
313-0101,8,31,3,3,4,5,3,3,5,certified,complete_exact
313-0101,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
313-0101,10,31,5,10,6,8,6,6,10,certified,complete_exact
313-0101,11,30,17,23,19,16,22,20,23,certified,complete_exact
313-0101,12,31,25,27,27,25,25,26,27,certified,complete_exact
